Lexème,Chapitre,Glose française,Note
"θύρα, -ας, ἡ",39,porte,
"λοιπός, -ή, -όν",39,"restant, qui reste, autre",
μᾶλλον,39,"plus, davantage",
"μέσος, -η, -ον",39,"milieu, au milieu, parmi",
"ὀλίγος, -η, -ον",39,"peu, petit nombre",
ὅπου,39,"où, là où",
"ὅς, ἥ, ὅ",39,"qui, que, quoi",
"ὅστις, ἥτις, ὅ τι",39,"qui, lequel, laquelle, quel qu’il soit",
ἁμαρτάνω,40,"pécher, faire mal (2e aoriste ἥμαρτον)","Le verbe ἁμαρτάνω semble être un verbe liquide, mais sa racine est *αμαρτ; \cite[305]{mounce1994}. Dans le Nouveau Testament, le futur parait une fois sous la forme ἁμαρτήσει (Matt 18.21). Dans la Septante, le futur a souvent la forme moyenne ἁμαρτήσομαι."
"ἄξιος, -ία, -ον",40,digne,
"ἥλιος, -ου, ὁ",40,soleil,
"μάρτυς, μάρτυρος, ὁ",40,témoin; (plus tard) martyr,
"μικρός, -ά, -όν",40,"peu, petit, petite quantité",
"ναός, -οῦ, ὁ",40,"temple, sanctuaire",
"ὅσος, -η, -ον",40,"combien, autant que, aussi grand que; pl. tous ceux qui",
οὐαί,40,"interj. hélas, malheur",
ὀφείλω,40,"devoir, avoir une dette",
ὥστε,40,"si bien que, afin que, en conséquence",
ἀναγινώσκω,41,lire (normalement à voix haute),
"διάβολος, -ον",41,"accusateur, médisant; subst. le diable",
"δύναμις, -εως, ἡ",41,"pouvoir, force",
εἴτε,41,si; εἴτε... εἴτε soit... soit,
ἐπιστρέφω,41,"se (re)tourner, se convertir, (re)tourner",
"ἱκανός, -ή, -όν",41,"suffisant, capable de, beaucoup",
οἶδα,41,"savoir, connaître, comprendre",
"προσευχή, -ῆς, ἡ",41,prière,
"σατανᾶς, -ᾶ, ὁ",41,"adversaire, Satan (aussi indécl. ὁ σατάν)",
ὑποστρέφω,41,"retourner, revenir",
"ἀγρός, -οῦ, ὁ",42,"champ, ferme, campagne",
ἀκολουθέω,42,suivre,
"ἅπας, -ασα, -αν",42,tout,
ἄχρι,42,gén. jusqu'à,
θεωρέω,42,"regarder, observer, contempler",
"ὀργή, -ῆς, ἡ",42,"colère, fureur",
παρακαλέω,42,"exhorter, demander, conforter, encourager",
"περιτομή, -ῆς, ἡ",42,circoncision,
πλήν,42,"néanmoins, cependant, excepté, mais",
"πτωχός, -ή, -όν",42,pauvre,
"ἀκάθαρτος, -ον",43,"impur, souillé",
"ἄνεμος, -ου, ὁ",43,vent,
"δυνατός, -ή, -όν",43,"capable, puissant",
"ἐπαγγελία, -ας, ἡ",43,promesse,
"ἐχθρός, -ά, -όν",43,"detesté, hostile; subst. ennemi",
μισέω,43,"haïr, détester",
οἰκοδομέω,43,"bâtir, construire, édifier",
ὅπως,43,"pour que, afin que",
"ὑπομονή, -ῆς, ἡ",43,"patience, persévérance",
ὥσπερ,43,"comme, de même que",
ἀγαπάω,44,aimer,
γεννάω,44,"engendrer, donner naissance",
δικαιόω,44,"justifier, regarder comme juste",
ζάω,44,vivre,
ναί,44,"oui, bien sûr",
ὁράω,44,"voir, constater (2e aoriste εἶδον)",
οὐχί,44,"non, nullement, ne... pas",
πληρόω,44,"remplir, combler, accomplir",
σταυρόω,44,crucifier,
φανερόω,44,"manifester, révéler, faire savoir",
"ἕκαστος, -η, -ον",45,chaque,
"ἐκκλησία, -ας, ἡ",45,"assemblée, église",
"ἕτερος, -α, -ον",45,"autre, différent",
"θάλασσα, -ας, ἡ",45,"mer, lac",
"πονηρός, -ά, -όν",45,"méchant, mauvais, vil",
"στόμα, στόματος, τό",45,bouche,
"ἀρχιερεύς, -έως, ὁ",46,grand prêtre,
βλασφημέω,46,"blasphémer, calomnier, injurier",
ἐλπίζω,46,espérer,
"εὐθύς, -εῖα, -ύ",46,"droit, direct, correct; masc. comme adv. immédiatement, aussitôt",
"ἱερεύς, -έως, ὁ",46,prêtre,
χαίρω,46,se réjouir,
"αἷμα, αἵματος, τό",47,sang,
ἀναβαίνω,47,monter,
ἄρτι,47,"maintenant, à l'instant",
"εἰρήνη, -ης, ἡ",47,paix,
